Time,soc_R00229,soc_R00230,soc_R00231,soc_R00232,soc_R00233,soc_R00234,soc_R00235,soc_R00236,soc_R00237,soc_R00238,soc_R00239,soc_R00240
2024-01-01 00:00:00,442.7330083090067,529.7725658672231,529.7725658672231,529.7725658672231,529.7725658672231,411.3204690556838,529.7725661557004,529.7725661557004,411.3204690556839,529.7725661557004,411.3204690556839,529.7725661557004
2024-01-01 00:30:00,442.7330082889822,578.1892520454917,570.4222867541655,578.1892520427162,462.1650224323174,462.55450877285597,529.9737635679625,529.7725661556901,465.423119069171,580.865715928248,337.561896384162,580.8657159972179
2024-01-01 01:00:00,442.7330082689577,605.4948751793625,592.3585948806212,511.9485516923058,512.3618791545127,512.7424426833944,529.9737635732561,529.7725661557026,465.4231190691757,580.8657159210294,370.04275695658436,605.8899877478456
2024-01-01 01:30:00,442.7330082489332,607.9521340270371,607.2083411879634,545.822184118598,512.3618791545127,544.7589466160598,529.9737635732561,558.8624988991625,518.3353790053961,607.2920282289085,295.8008423515472,608.0
2024-01-01 02:00:00,442.73300822890866,607.9993704767097,607.9881594535113,562.9890886086146,561.2817073086769,544.7589466160598,529.9737635741812,590.9796165496072,551.9397455885187,538.1787872612398,351.5617306154477,608.0
2024-01-01 02:30:00,442.73300820888414,607.9999917928303,607.9998453110171,562.9890886079309,561.281707308721,595.3646958667667,581.0605277477287,590.9796165562124,552.0873936971011,466.8326463528763,406.65269348828843,608.0
2024-01-01 03:00:00,442.7330081888596,538.9137278914097,608.0,562.9890886083545,597.2794704293877,595.3646958719546,607.3102891883052,601.7440841567069,602.4461895347886,519.7098249134374,332.83467894224236,538.9137362684354
2024-01-01 03:30:00,442.7330081688351,587.0539025108408,542.779946522881,562.9890886083545,597.2794704272421,607.4509912525626,607.9898548022097,607.8238410953307,607.8530021202758,568.4210841749025,262.27912979347366,570.8898238379612
2024-01-01 04:00:00,442.7330081488106,606.6764415244053,590.8006328556327,562.9890886148796,597.2794704272329,608.0,608.0,538.7308568237131,608.0,497.95695570547787,318.35641815872856,606.1077894100522
2024-01-01 04:30:00,442.7330081287861,607.9784972934905,607.0658205461517,577.414828242006,607.5832513620753,542.7799466970395,608.0,589.5355145235287,608.0,550.0052406710561,243.5900153593741,608.0
2024-01-01 05:00:00,442.73300810876157,607.9997185769149,607.9857049619764,605.3743894992903,542.3479429541983,590.8006330001413,542.7799466387767,589.5355145235287,538.9137364118175,550.7859678820721,299.8239907723502,608.0
2024-01-01 05:30:00,442.73300808873705,538.9134442478248,608.0,536.1885108245751,588.1816299506652,607.9830052550773,589.2494489297346,607.9223922872982,552.8533892702844,601.1890287348851,224.8725008706656,608.0
2024-01-01 06:00:00,442.73300806871254,587.0536275782553,542.7799465228848,536.1885108153934,605.3527962206651,607.9997777622134,590.4408496434592,607.9989737161333,600.134697449266,535.7232052510132,278.2309422183653,542.7799466451341
2024-01-01 06:30:00,442.733008048688,587.2748316483178,590.8006328550183,536.1885108153931,605.3527962163371,607.9997777605904,607.0312860348947,542.7788827600161,607.7480854699845,583.9608506782854,207.15545410044314,542.7799466451341
2024-01-01 07:00:00,442.7330080286635,587.2748316408087,590.8006328522024,561.7785818535474,607.9485094461342,542.7797160819151,607.9850953858635,590.7996021260864,607.9965621008987,606.3055882696252,135.2384556917416,542.7799466451341
2024-01-01 07:30:00,442.733008008639,587.2748316332995,590.8006328493865,561.7785818524914,607.9485094457382,542.7797160817667,538.8982629614851,590.7996021260864,607.9965620998227,606.3055882692217,188.7475174119586,542.7799466451341
2024-01-01 08:00:00,475.281286360763,587.2748316332995,590.8006328491658,561.7785818524087,538.8602808775674,542.779716080926,567.0191688577847,590.7996021260864,538.9101672911554,606.3055882664903,245.39759712430484,559.5822857037333
2024-01-01 08:30:00,507.3947027426667,587.2748316332994,590.8006328489452,561.7785818523259,538.8602808775364,542.7797160806498,567.0191688576812,590.7996021260475,557.3136195474077,606.3055882664903,298.6043277009036,559.5822857037333
2024-01-01 09:00:00,507.3947027185963,587.274831624273,603.1045822288193,602.3548718855097,552.1038626357396,542.7797160778395,567.0191688576831,590.7996021245596,599.2293447093723,606.3055882755497,351.3561431228945,559.5822857037333
2024-01-01 09:30:00,556.452389990737,521.330182836847,537.7071193949098,536.93058342755,599.8302241648947,580.4753547801387,603.4909097879595,524.9733194820858,533.6942014502174,607.9709499134755,403.5139429978421,601.8418191999606
2024-01-01 10:00:00,600.7438986519763,569.9947059960106,470.30025128817385,585.1314641960504,534.3162700739442,605.8344214466551,607.892011705897,457.248601685931,581.9932978864413,607.9996192724922,454.8856082060952,536.3992258535512
2024-01-01 10:30:00,607.7171274359405,604.0804388695277,520.3075653210619,606.4511833191514,582.5965707183707,540.5354067004394,542.6680027742609,507.5567822841126,606.0465355501218,542.7795518340123,505.24643544184255,584.6163046424057
2024-01-01 11:00:00,607.7171274055929,604.0804388581473,569.0016150646334,606.4511833191514,602.4254656678778,540.5354067004394,542.6680027741274,507.5567822840626,606.046535550103,542.7795518340052,557.0855076237065,591.3539627417681
2024-01-01 11:30:00,607.7171273752454,607.9117078156232,569.0016150564586,606.4511833191649,602.4254656681295,540.5354067005337,542.6680027740883,555.2171444901197,607.9652830532648,542.7795518228143,601.2321525949642,607.1177460095181
2024-01-01 12:00:00,607.7171273448978,607.9117078042428,603.8881635479792,607.973992378617,607.8521752590016,588.6256453009239,590.6921699330758,555.2171444966312,607.9652830532426,560.4580170858987,601.2321525949642,607.1177460091499
